Date : 2021-10-30 23:43:26
Directory : d:\workstation\OS_SelfMake\Assembler
Total : 2656 files,  220600 codes, 13290 comments, 25517 blanks, all 259407 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| day13\f_simplifyByshaobing                                                       |         18 |      1,887 |        114 |        132 |      2,133 |
| day13\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day13\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day13\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day13\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day13\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day13\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day13\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day14                                                                            |        145 |     12,730 |        770 |      1,161 |     14,661 |
| day14\a_setLotsofTimertoTest                                                     |         18 |      1,904 |        113 |        136 |      2,153 |
| day14\b_improveResolution                                                        |         18 |      1,904 |        113 |        136 |      2,153 |
| day14\c_improveResolution2                                                       |         18 |      1,938 |        118 |        137 |      2,193 |
| day14\d_keyboardinput(1)                                                         |         18 |      1,934 |        124 |        137 |      2,195 |
| day14\e_appendtext(1)                                                            |         18 |      1,967 |        126 |        136 |      2,229 |
| day14\f_appendtext(2)                                                            |         18 |      1,967 |        126 |        136 |      2,229 |
| day14\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day14\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day14\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day14\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day14\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day14\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day14\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day15                                                                            |        165 |     15,181 |        941 |      1,535 |     17,657 |
| day15\a_multitasks                                                               |         18 |      2,020 |        126 |        145 |      2,291 |
| day15\b_multitasksAdvanced                                                       |         18 |      2,043 |        127 |        148 |      2,318 |
| day15\c_multitaskMore                                                            |         18 |      2,049 |        126 |        160 |      2,335 |
| day15\d_multitask(2)                                                             |         18 |      2,056 |        126 |        161 |      2,343 |
| day15\e_speedenRunningTime                                                       |         18 |      2,061 |        126 |        160 |      2,347 |
| day15\f_testRunningTime                                                          |         19 |      2,117 |        127 |        181 |      2,425 |
| day15\g_multiytask_copy                                                          |         19 |      1,719 |        133 |        237 |      2,089 |
| day15\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day15\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day15\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day15\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day15\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day15\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day15\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day16                                                                            |        113 |      8,718 |        598 |      1,304 |     10,620 |
| day16\a_tasksAutoManage                                                          |         19 |      1,841 |        133 |        238 |      2,212 |
| day16\b_sleepyTask                                                               |         19 |      1,894 |        135 |        237 |      2,266 |
| day16\c_addMoreTasks                                                             |         19 |      1,895 |        140 |        243 |      2,278 |
| day16\d_AddPriority                                                              |         19 |      1,972 |        140 |        243 |      2,355 |
| day16\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day16\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day16\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day16\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day16\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day16\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day16\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day17                                                                            |        170 |     15,491 |      1,037 |      2,063 |     18,591 |
| day17\a_AddValuableTask                                                          |         19 |      1,988 |        141 |        246 |      2,375 |
| day17\b_AddconsoleWindow                                                         |         19 |      1,990 |        140 |        243 |      2,373 |
| day17\c_changeToConsoleWindow                                                    |         19 |      2,015 |        140 |        243 |      2,398 |
| day17\d_InputCharToConsole                                                       |         19 |      2,061 |        143 |        245 |      2,449 |
| day17\e_AddSignalChar                                                            |         19 |      2,089 |        140 |        247 |      2,476 |
| day17\f_addCapsLock                                                              |         19 |      2,097 |        141 |        247 |      2,485 |
| day17\g_AddMoreLocks                                                             |         19 |      2,135 |        142 |        249 |      2,526 |
| day17\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day17\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day17\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day17\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day17\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day17\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day17\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day18                                                                            |        170 |     16,512 |      1,063 |      2,073 |     19,648 |
| day18\a_CursorControl                                                            |         19 |      2,147 |        142 |        248 |      2,537 |
| day18\b_CursorControlinConsole                                                   |         19 |      2,170 |        142 |        247 |      2,559 |
| day18\c_SupportEnterKey                                                          |         19 |      2,187 |        143 |        247 |      2,577 |
| day18\d_SupportScroll                                                            |         19 |      2,206 |        143 |        247 |      2,596 |
| day18\e_AddmemCommand                                                            |         19 |      2,210 |        147 |        246 |      2,603 |
| day18\f_AddclsCommand                                                            |         19 |      2,210 |        147 |        246 |      2,603 |
| day18\g_AdddirCommand                                                            |         19 |      2,266 |        149 |        249 |      2,664 |
| day18\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day18\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day18\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day18\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day18\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day18\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day18\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day19                                                                            |        140 |     13,115 |        807 |      1,611 |     15,533 |
| day19\a_AddTypeCommmand                                                          |         19 |      2,334 |        150 |        249 |      2,733 |
| day19\b_UpdateType                                                               |         19 |      2,362 |        150 |        249 |      2,761 |
| day19\c_SupportFAT                                                               |         20 |      2,402 |        150 |        250 |      2,802 |
| day19\d_RestructureToConsole                                                     |         22 |      2,421 |        153 |        258 |      2,832 |
| day19\e_FirstApplication                                                         |         23 |      2,480 |        154 |        262 |      2,896 |
| day19\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day19\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day19\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day19\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day19\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day19\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day19\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day20                                                                            |        222 |     21,436 |      1,280 |      2,482 |     25,198 |
| day20\a_MakeupProgram                                                            |         23 |      2,511 |        153 |        263 |      2,927 |
| day20\b_putcharAPI(1)                                                            |         23 |      2,517 |        153 |        266 |      2,936 |
| day20\c_putcharAPI(2)                                                            |         23 |      2,521 |        154 |        267 |      2,942 |
| day20\d_EndApplication                                                           |         23 |      2,535 |        154 |        267 |      2,956 |
| day20\e_APIStick                                                                 |         23 |      2,539 |        154 |        267 |      2,960 |
| day20\f_NameTheApp                                                               |         23 |      2,554 |        154 |        271 |      2,979 |
| day20\g_RegisterCareful                                                          |         23 |      2,555 |        154 |        269 |      2,978 |
| day20\h_APIforString                                                             |         24 |      2,588 |        154 |        269 |      3,011 |
| day20\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day20\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day20\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day20\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day20\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day20\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day20\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day21                                                                            |        230 |     20,289 |      1,156 |      2,295 |     23,740 |
| day21\a_DisplayStringAPI                                                         |         24 |      2,590 |        154 |        269 |      3,013 |
| day21\b_WritePrograminC                                                          |         27 |      2,637 |        154 |        277 |      3,068 |
| day21\c_protectOS(1)                                                             |         28 |      2,647 |        154 |        279 |      3,080 |
| day21\d_protectOS(2)                                                             |         28 |      2,805 |        161 |        280 |      3,246 |
| day21\e_SupportError                                                             |         28 |      2,873 |        164 |        281 |      3,318 |
| day21\f_protectOS(3)                                                             |         29 |      2,882 |        163 |        283 |      3,328 |
| day21\g_protectOS(4)                                                             |         29 |      2,739 |        156 |        283 |      3,178 |
| day21\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day21\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day21\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day21\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day21\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day21\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day21\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day22                                                                            |         67 |      3,868 |        206 |        628 |      4,702 |
| day22\a_protectOS(5)                                                             |         30 |      2,752 |        156 |        285 |      3,193 |
| day22\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day22\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day22\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day22\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day22\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day22\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day22\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| tolset                                                                           |         48 |      1,163 |         53 |        353 |      1,569 |
| tolset\z_new_o                                                                   |          4 |         18 |          2 |          6 |         26 |
| tolset\z_new_w                                                                   |          4 |         10 |          1 |          3 |         14 |
| tolset\z_osabin                                                                  |          3 |         19 |          0 |          1 |         20 |
| tolset\z_tools                                                                   |         37 |      1,116 |         50 |        343 |      1,509 |
| tolset\z_tools\guigui00                                                          |         11 |        661 |         28 |        173 |        862 |
| tolset\z_tools\haribote                                                          |          9 |        161 |          9 |         70 |        240 |
| tolset\z_tools\osa_qemu                                                          |          2 |         26 |          0 |          5 |         31 |
| tolset\z_tools\qemu                                                              |          2 |          6 |          0 |          1 |          7 |
| tolset\z_tools\qemu_9x                                                           |          1 |          2 |          0 |          1 |          3 |
| tolset\z_tools\win32                                                             |         10 |        228 |         13 |         83 |        324 |
| z_tools                                                                          |         37 |      1,116 |         50 |        343 |      1,509 |
| z_tools\guigui00                                                                 |         11 |        661 |         28 |        173 |        862 |
| z_tools\haribote                                                                 |          9 |        161 |          9 |         70 |        240 |
| z_tools\osa_qemu                                                                 |          2 |         26 |          0 |          5 |         31 |
| z_tools\qemu                                                                     |          2 |          6 |          0 |          1 |          7 |
| z_tools\qemu_9x                                                                  |          1 |          2 |          0 |          1 |          3 |
| z_tools\win32                                                                    |         10 |        228 |         13 |         83 |        324 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
